134                  ! TOTAL NUMBER OF ELEVATION RECORDING STATIONS     
-64.70330556  32.37338889 ! 2695540 ! Bermuda Esso Pier                    ! BM ! NOAA_NOS
  -66.982315      44.9033 ! 8410140 ! Eastport Passamaquoddy Bay           ! ME ! NOAA_NOS
   -67.18683     44.64938 ! 8411060 ! Cutler Farris Wharf                  ! ME ! NOAA_NOS
    -68.2043      44.3937 ! 8413320 ! Bar Harbor                           ! ME ! NOAA_NOS
  -70.245674      43.6567 ! 8418150 ! Portland                             ! ME ! NOAA_NOS
   -70.56331        43.32 ! 8419317 ! Wells                                ! ME ! NOAA_NOS
  -70.710445     43.07139 ! 8423898 ! Fort Point                           ! NH ! NOAA_NOS
   -71.04418     42.35730 ! 8443970 ! Boston                               ! MA ! NOAA_NOS
  -71.168197     41.70431 ! 8447386 ! Fall River                           ! MA ! NOAA_NOS
  -69.948478      41.6885 ! 8447435 ! Chatham                              ! MA ! NOAA_NOS
    -70.6717      41.5233 ! 8447930 ! Woods Hole                           ! MA ! NOAA_NOS
  -70.091286       41.285 ! 8449130 ! Nantucket Island                     ! MA ! NOAA_NOS
    -71.3267       41.505 ! 8452660 ! Newport                              ! RI ! NOAA_NOS
    -71.3433      41.7167 ! 8452944 ! Conimicut Light                      ! RI ! NOAA_NOS
  -71.398883      41.8067 ! 8454000 ! Providence                           ! RI ! NOAA_NOS
     -71.411    41.583762 ! 8454049 ! Quonset Point                        ! RI ! NOAA_NOS
    -72.0867       41.355 ! 8461490 ! New London                           ! CT ! NOAA_NOS
    -72.9083      41.2833 ! 8465705 ! New Heaven                           ! CT ! NOAA_NOS
    -73.1817      41.1733 ! 8467150 ! Bridegport                           ! CT ! NOAA_NOS
   -71.96328      41.0483 ! 8510560 ! Montauk                              ! NY ! NOAA_NOS
  -73.767883     40.81031 ! 8516945 ! Kings Point                          ! NY ! NOAA_NOS
    -74.0142    40.699296 ! 8518750 ! The Battery                          ! NY ! NOAA_NOS
    -73.9376      42.0130 ! 8518962 ! Turkey Point Hudson River NERRS      ! NY ! NOAA_NOS
   -74.14167    40.640991 ! 8519483 ! Bergen Point West Reach              ! NY ! NOAA_NOS
      -74.01      40.4667 ! 8531680 ! Sandy Hook                           ! NJ ! NOAA_NOS
   -74.41778     39.35436 ! 8534720 ! Atlantic City                        ! NJ ! NOAA_NOS
   -74.96789     38.96498 ! 8536110 ! Cape May Ferry Terminal              ! NJ ! NOAA_NOS
     -75.375       39.305 ! 8537121 ! Ship John Shoal                      ! NJ ! NOAA_NOS
   -74.87333        40.08 ! 8539094 ! Burlington Delaware River            ! NJ ! NOAA_NOS
      -75.41      39.8117 ! 8540433 ! Marcus Hook                          ! PA ! NOAA_NOS
  -75.138885     39.93333 ! 8545240 ! Philadelphia                         ! PA ! NOAA_NOS
    -74.7519    40.136025 ! 8548989 ! Newbold                              ! PA ! NOAA_NOS
    -75.5883      39.5817 ! 8551762 ! Delaware City                        ! DE ! NOAA_NOS
   -75.57331    39.558742 ! 8551910 ! Reedy Point                          ! DE ! NOAA_NOS
    -75.1133       38.985 ! 8555889 ! Brandywine Shoa Light                ! DE ! NOAA_NOS
   -75.11916    38.785756 ! 8557380 ! Lewes                                ! DE ! NOAA_NOS
   -75.09167     38.32833 ! 8570283 ! Ocean City Inlet                     ! MD ! NOAA_NOS
   -76.03867    38.219265 ! 8571421 ! Bishops Head                         ! MD ! NOAA_NOS
    -76.0683    38.575703 ! 8571892 ! Cambridge                            ! MD ! NOAA_NOS
   -76.24976     39.21333 ! 8573364 ! Tolchester Beach                     ! MD ! NOAA_NOS
   -75.80998    39.527820 ! 8573927 ! Chesapeake City                      ! MD ! NOAA_NOS
   -76.57311     39.26667 ! 8574680 ! Baltimore                            ! MD ! NOAA_NOS
  -76.479592     38.98451 ! 8575512 ! Annapolis                            ! MD ! NOAA_NOS
   -76.45167     38.31667 ! 8577330 ! Solomons Island                      ! MD ! NOAA_NOS
   -77.02167     38.87333 ! 8594900 ! Washington                           ! DC ! NOAA_NOS
   -75.64378     37.60827 ! 8631044 ! Wachapreague                         ! VA ! NOAA_NOS
  -75.989994      37.1667 ! 8632200 ! Kiptopeke                            ! VA ! NOAA_NOS
  -77.036731     38.31672 ! 8635027 ! Dahlgren                             ! VA ! NOAA_NOS
  -76.464640     37.99531 ! 8635750 ! Lewisetta                            ! VA ! NOAA_NOS
  -76.29367      37.61170 ! 8636580 ! Windmill Point                       ! VA ! NOAA_NOS
    -76.4788      37.2265 ! 8637689 ! Yorktown USGS Training Center        ! VA ! NOAA_NOS
      -76.33     36.94667 ! 8638610 ! Sewells Point                        ! VA ! NOAA_NOS
  -76.083333    37.033333 ! 8638901 ! CBBT Chesapeake Channel              ! VA ! NOAA_NOS
    -76.3017      36.7783 ! 8639348 ! Money Point                          ! VA ! NOAA_NOS
   -75.74667     36.18333 ! 8651370 ! Duck Pier                            ! NC ! NOAA_NOS
